percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circulating_supply,post_active,interactions,contributors_active,contributors_created,pump
-0.427228485174,-2.633109794831,9.05698094937,51.390544683073,12.954579232739473,39225842.53,847931425.6968875,65454185,65454185,,,5,5,0
0.475901815784,17.537129651216,24.926581164262,71.510711143674,15.22644058855451,56121489.15,996634259.1747558,65454185,65454185,,,5,5,0
-0.668005202029,-1.018313101785,6.086903808907,69.103697507073,15.071387749105767,80996185.8,986485401.9367025,65454185,65454185,,,5,5,0
-1.575872642536,8.146819959089,8.61129601966,84.783363221192,16.299226574361676,71527605.42,1066852591.5551853,65454185,65454185,,,5,5,0
-2.484442361956,40.777039586384,69.644122011385,162.956660327373,22.945568646863624,480419849.79,1501883495.1420114,65454185,65454185,5,685,5,5,0
-1.722217723481,26.623751025341,118.077894387354,230.205316499126,29.05453971475341,481659522.59,1901741217.5793169,65454185,65454185,5,1179,5,5,0
-1.366392890012,-2.099302199627,113.790190734092,233.219357507815,28.44459712343002,193851830.48,1861817922.3674564,65454185,65454185,5,854,5,5,0
-1.09694570182,-9.031272930291,99.741631576092,209.461949958601,25.87568792329138,127451391.87,1693672064.3333797,65454185,65454185,5,625,5,5,0
-0.640005810982,18.104733295239,100.706212541121,263.802642836689,30.560412210111693,243198678.81,2000306874.4769096,65454185,65454185,5,672,5,5,0
-2.152276869968,-4.878472697669,92.878926135193,239.674849826768,29.06953084414629,129164275.92,1902722449.7359574,65454185,65454185,5,926,5,5,0
-2.482897989705,-1.968036353879,74.839166626822,235.531414691789,28.497431909231512,133044482.07,1865276180.2117426,65454185,65454185,5,1240,5,5,0
0.596991986198,15.739698216749,43.743840908368,288.293761390877,32.982841691267964,263143161.88,2158865021.8859663,65454185,65454185,5,925,5,5,0
-1.681352596712,11.975982080372,27.11562896678,341.932460018421,36.93286090181158,277205253.31,2417410310.046442,65454185,65454185,5,831,5,5,0
-2.541598577862,0.701928784657,30.752786274633,363.936619794736,37.19210328347887,147976670.1,2434378808.8559337,65454185,65454185,5,669,5,5,0
1.289441564865,16.243373199312,67.080989493511,409.333804487313,43.23335542048807,283684741.68,2829804043.8633785,65454185,65454185,,,5,5,0
-0.954884957695,-6.169119498453,32.741135108069,367.767693991013,40.56623806140719,148464770.65,2655230050.8253875,65454185,65454185,5,8,5,5,0
-0.400807913429,-0.670052463369,38.613943238422,365.500216888244,40.29442298398061,122103846.22,2637438616.461719,65454185,65454185,5,11,5,10,0
-1.971716706764,-4.108670270548,35.587157920824,344.406921786723,38.63885800614913,96227187.89,2529074960.123216,65454185,65454185,5,6,5,5,0
-2.141049377045,1.168935465705,18.517748369981,353.478035090262,39.09052132092624,113932244.1,2558638214.2863507,65454185,65454185,,,5,5,0
-0.479971132056,-6.416418597485,-0.949157612531,289.921724070661,36.582309841036505,91940471.82,2394465276.062524,65454185,65454185,,,5,5,0
1.524039653304,-3.711576638339,-5.290300183537,263.166739379559,35.22452937521189,165300829.15,2305592862.2630534,65454185,65454185,5,51,5,10,0
-1.259269711035,-5.397237065478,-22.92206400468,218.780203631345,33.32337801963281,89767289.27,2181154549.7219796,65454185,65454185,,,5,5,0
5.32064607816,15.19602181961,-5.371541338344,226.274255363157,38.387205814527476,165329726.48,2512603271.017157,65454185,65454185,5,41,5,5,0
-1.08953308968,-9.386197988758,-13.675133930438,192.826929441792,34.78410667442407,133616676.01,2276765353.327488,65454185,65454185,5,62,5,5,0
-0.161248153284,-9.200044992609,-18.258574813279,159.133135629589,31.583953210099807,123469161.64,2067301916.4452167,65454185,65454185,5,51,5,5,0
-1.769385287426,8.47154922876,-12.358284829673,141.151996493164,34.25960335468207,120317234.47,2242434416.0039806,65454185,65454185,5,47,5,5,0
0.294066399044,0.708109439834,-5.686111702593,129.908364943172,34.50219884008637,90342900.97,2258313305.785799,65454185,65454185,5,56,5,5,0
-3.400916935258,0.985644641812,-1.085213820401,157.600325368628,34.842267914260894,92631336.09,2280572249.8795967,65454185,65454185,5,42,5,5,0
-0.715851359747,8.267739587068,13.202616701751,183.141240925624,37.72293589164049,90932463.78,2469124024.5945764,65454185,65454185,5,32,5,5,0
-0.784805245388,-4.222854134808,-5.880226062466,171.553474753023,36.12995133356935,44974411.99,2364856518.628445,65454185,65454185,5,46,5,5,0
2.148186235088,13.238241895807,17.619584343176,215.818221131779,40.9129216879447,90305747.01,2677921945.053245,65454185,65454185,5,67,5,5,0
-1.376741493416,0.466178661267,30.140925441249,169.949163492956,41.10364899855488,170077649.96,2690405845.7264757,65454185,65454185,5,61,5,5,0
0.024568646933,2.176905576264,22.588799966106,178.663367466904,41.99843662565251,123478435.57,2748973440.606235,65454185,65454185,,,5,5,0
0.732706233401,0.990223390465,22.932208365428,160.222868706336,42.41431496874934,146918458.05,2776194418.612788,65454185,65454185,5,11,5,5,0
-0.610256025822,-3.02603656907,18.048694156443,79.253968033154,41.13084228727437,73983152.25,2692185760.2770796,65454185,65454185,5,15,5,5,0
-0.401817976039,-5.950898357122,2.545538291209,33.139908768501,38.683187669330486,71911744.16,2531976522.0980763,65454185,65454185,5,9,5,5,0
1.978753787763,0.682055773247,7.797069042599,36.922412418435,38.947028584105254,41679519.57,2549246014.1443133,65454185,65454185,5,9,5,5,0
0.164547864471,-5.142267631415,-9.70024477447,42.775984350052,36.94426813982671,62343285.54,2418156961.5138235,65454185,65454185,5,8,5,5,0
1.389850705715,-7.264667971825,-16.648787736456,12.107092958359,34.26038972484747,83745929.76,2242485887.2222652,65454185,65454185,5,9,5,5,0
